NC_036903.1,NC_071985.2,chr1
NC_036906.1,NC_085928.1,chr2
NC_036907.1,NC_071988.2,chr3
NC_036908.1,NC_071989.2,chr4
NC_036909.1,NC_071990.2,chr5
NC_036910.1,NC_071991.2,chr6
NC_036911.1,NC_071992.2,chr7
NC_036913.1,NC_071993.2,chr8
NC_036914.1,NC_071994.2,chr9
NC_036915.1,NC_071995.2,chr10
NC_036905.1,NC_071996.2,chr11
NC_036904.1,NC_071997.2,chr12
NC_036912.1,NC_071998.2,chr13
NC_036916.1,NC_071999.2,chr14
NC_036917.1,NC_072000.2,chr15
NC_036918.1,NC_072001.2,chr16
NC_036921.1,NC_072002.2,chr17
NC_036919.1,NC_072003.2,chr18
NC_036920.1,NC_072004.2,chr19
NC_036922.1,NC_072005.2,chr20
NC_036923.1,NC_072006.2,chr21
NC_036924.1,NC_072007.2,chr22
NC_036925.1,NC_085929.1,chr23
JA,NC_072008.2,chrY
NC_036926.1,NC_072009.2,chrX
NC_002083.1,NC_002083.1,chrM
