NC_027868.1,NC_073249.2,chr1
NC_027869.1,NC_085926.1,chr2
NC_027870.1,NC_073252.2,chr3
NC_027871.1,NC_073253.2,chr4
NC_027872.1,NC_073254.2,chr5
NC_027873.1,NC_073255.2,chr6
NC_027874.1,NC_073256.2,chr7
NC_027875.1,NC_073257.2,chr8
NC_027876.1,NC_073258.2,chr9
NC_027877.1,NC_073259.2,chr10
NC_027878.1,NC_073260.2,chr11
NC_027879.1,NC_073261.2,chr12
NC_027880.1,NC_073262.2,chr13
NC_027881.1,NC_073263.2,chr14
NC_027882.1,NC_073264.2,chr15
NC_027883.1,NC_073265.2,chr16
NC_027884.1,NC_073266.2,chr17
NC_027885.1,NC_073267.2,chr18
NC_027886.1,NC_073268.2,chr19
NC_027887.1,NC_073269.2,chr20
NC_027888.1,NC_073270.2,chr21
NC_027889.1,NC_073271.2,chr22
NC_027890.1,NC_085927.1,chr23
JA,NC_073272.2,chrY
NC_027891.1,NC_073273.2,chrX
NC_001644.1,NC_001644.1,chrM
