NC_044602.1,NC_073224.2,chr1
NC_044605.1,NC_086017.1,chr2
NC_044606.1,NC_073227.2,chr3
NC_044607.1,NC_073228.2,chr4
NC_044608.1,NC_073229.2,chr5
NC_044609.1,NC_073230.2,chr6
NC_044610.1,NC_073231.2,chr7
NC_044612.1,NC_073232.2,chr8
NC_044613.1,NC_073233.2,chr9
NC_044614.1,NC_073234.2,chr10
NC_044604.1,NC_073235.2,chr11
NC_044603.1,NC_073236.2,chr12
NC_044611.1,NC_073237.2,chr13
NC_044615.1,NC_073238.2,chr14
NC_044616.1,NC_073239.2,chr15
NC_044617.1,NC_073240.2,chr16
NC_044620.1,NC_073241.2,chr17
NC_044618.1,NC_073242.2,chr18
NC_044619.1,NC_073243.2,chr19
NC_044621.1,NC_073244.2,chr20
NC_044622.1,NC_073245.2,chr21
NC_044623.1,NC_073246.2,chr22
NC_044624.1,NC_086018.1,chr23
JA,NC_073247.2,chrY
NC_044625.1,NC_073248.2,chrX
NC_011120.1,NC_011120.1,chrM
